prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59410509190857, 130.3514377066217]","(6626, 10192)","(33.59403519868174, 130.35142485717054)","(33.59403519868174, 130.35142485717054)"
-7.652492682498121,"[33.59403635192066, 130.3514825665675]","(6626, 10192)","(33.59403519868174, 130.35142485717054)","(33.5940253, 130.3514787)"
-15.168056425539039,"[33.59399326055645, 130.3515038230739]","(6626, 10192)","(33.5940253, 130.3514787)","(33.594006330813215, 130.3515114041374)"
-56.83502116960227,"[33.59392473011612, 130.3515120708666]","(10188, 10192)","(33.594006330813215, 130.3515114041374)","(33.59391693835134, 130.3514720807797)"
-62.76954418728835,"[33.59392858579158, 130.3514719215504]","(10188, 10192)","(33.59391693835134, 130.3514720807797)","(33.59392818967583, 130.35146988854456)"
-80.89432906664481,"[33.59388817663639, 130.3514415120057]","(10188, 10190)","(33.59392818967583, 130.35146988854456)","(33.59386103880209, 130.35144436861984)"
-86.36669674008874,"[33.59386339553966, 130.3514098563514]","(6622, 10190)","(33.59386103880209, 130.35144436861984)","(33.5938562, 130.3513984)"
-143.0716367966698,"[33.59373917154371, 130.3513467629723]","(6622, 10191)","(33.5938562, 130.3513984)","(33.5937598, 130.3514183)"
Path2
1,"[33.59410509190857, 130.3514377066217]","(6626, 10192)","(33.59403519868174, 130.35142485717054)","(33.59403519868174, 130.35142485717054)"
-7.652492682498121,"[33.59403635192066, 130.3514825665675]","(6626, 10192)","(33.59403519868174, 130.35142485717054)","(33.5940253, 130.3514787)"
-64.08883700234661,"[33.59399326055645, 130.3515038230739]","(10188, 10192)","(33.5940253, 130.3514787)","(33.593952687006656, 130.35146312085533)"
-85.57806438717249,"[33.59392473011612, 130.3515120708666]","(10188, 10192)","(33.593952687006656, 130.35146312085533)","(33.59391693835134, 130.3514720807797)"
-91.51258740485856,"[33.59392858579158, 130.3514719215504]","(10188, 10192)","(33.59391693835134, 130.3514720807797)","(33.59392818967583, 130.35146988854456)"
-109.63737228421502,"[33.59388817663639, 130.3514415120057]","(10188, 10190)","(33.59392818967583, 130.35146988854456)","(33.59386103880209, 130.35144436861984)"
-115.10973995765895,"[33.59386339553966, 130.3514098563514]","(6622, 10190)","(33.59386103880209, 130.35144436861984)","(33.5938562, 130.3513984)"
-171.81468001424003,"[33.59373917154371, 130.3513467629723]","(6622, 10191)","(33.5938562, 130.3513984)","(33.5937598, 130.3514183)"
Path3
1,"[33.59410509190857, 130.3514377066217]","(6626, 10192)","(33.59403519868174, 130.35142485717054)","(33.59403519868174, 130.35142485717054)"
-7.652492682498121,"[33.59403635192066, 130.3514825665675]","(6626, 10192)","(33.59403519868174, 130.35142485717054)","(33.5940253, 130.3514787)"
-15.168056425539039,"[33.59399326055645, 130.3515038230739]","(6626, 10192)","(33.5940253, 130.3514787)","(33.594006330813215, 130.3515114041374)"
-56.83502116960227,"[33.59392473011612, 130.3515120708666]","(10188, 10192)","(33.594006330813215, 130.3515114041374)","(33.59391693835134, 130.3514720807797)"
-62.76954418728835,"[33.59392858579158, 130.3514719215504]","(10188, 10192)","(33.59391693835134, 130.3514720807797)","(33.59392818967583, 130.35146988854456)"
-80.89432906664481,"[33.59388817663639, 130.3514415120057]","(10188, 10190)","(33.59392818967583, 130.35146988854456)","(33.59386103880209, 130.35144436861984)"
-85.61258683654816,"[33.59386339553966, 130.3514098563514]","(10188, 10190)","(33.59386103880209, 130.35144436861984)","(33.59385747157126, 130.35141047992704)"
-176.50295371647243,"[33.59373917154371, 130.3513467629723]","(6622, 10190)","(33.59385747157126, 130.35141047992704)","(33.5938, 130.3514099)"
Path4
