prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59165890052318, 130.3518344388626]","(2164, 6541)","(33.59168242552822, 130.35196108285754)","(33.59168242552822, 130.35196108285754)"
-115.58666609116717,"[33.59155040516852, 130.3518481013648]","(2164, 6541)","(33.59168242552822, 130.35196108285754)","(33.59157509575248, 130.3519810201117)"
-235.6010774478281,"[33.5914586484745, 130.3518496603988]","(2164, 6541)","(33.59157509575248, 130.3519810201117)","(33.591452550850725, 130.351994729239)"
-352.18684394992556,"[33.59136091548352, 130.3518554606758]","(2164, 6541)","(33.591452550850725, 130.351994729239)","(33.59135523359502, 130.35199063873955)"
-471.95635121525356,"[33.591271799089, 130.3518700619511]","(2164, 6541)","(33.59135523359502, 130.35199063873955)","(33.591294601600694, 130.3519966014026)"
-588.657300614763,"[33.59118222168981, 130.3518720400802]","(2164, 6541)","(33.591294601600694, 130.3519966014026)","(33.59120749625475, 130.3520122978565)"
-705.4640075219002,"[33.59109977729021, 130.3518680838219]","(2164, 6541)","(33.59120749625475, 130.3520122978565)","(33.59112833531638, 130.35202656272173)"
-822.0723408502918,"[33.59101079500614, 130.3518760131023]","(2164, 6541)","(33.59112833531638, 130.35202656272173)","(33.59104076769445, 130.35204234247817)"
-961.5942062156089,"[33.59090598768888, 130.3518753257863]","(2164, 9434)","(33.59104076769445, 130.35204234247817)","(33.5907647, 130.3520525)"
-996.8147504199,"[33.59081107101737, 130.351957501965]","(9433, 9434)","(33.5907647, 130.3520525)","(33.590763847584974, 130.35195800793034)"
-1015.9080900128147,"[33.59079822994171, 130.3521031962059]","(2164, 9434)","(33.590763847584974, 130.35195800793034)","(33.5907652, 130.352092)"
-1096.3188542324108,"[33.59080740812568, 130.3522291259191]","(2164, 9436)","(33.5907652, 130.352092)","(33.5907675, 130.3521519)"
-1122.507563415706,"[33.59083148095159, 130.3523704280428]","(8532, 9436)","(33.5907675, 130.3521519)","(33.59079672021128, 130.35237503528583)"
-1142.3837662767849,"[33.5908539695978, 130.3524801471553]","(8532, 9436)","(33.59079672021128, 130.35237503528583)","(33.590818190225725, 130.35248722683585)"
-1150.0820810158632,"[33.59084396160542, 130.3525670507274]","(8532, 9436)","(33.590818190225725, 130.35248722683585)","(33.59082658286388, 130.35256874077015)"
-1155.288019842786,"[33.59084785080849, 130.3526850679241]","(8532, 9436)","(33.59082658286388, 130.35256874077015)","(33.59083595948054, 130.35268599869693)"
-1158.8650687264912,"[33.59084717187433, 130.3527869415752]","(8532, 9436)","(33.59083595948054, 130.35268599869693)","(33.59084388077077, 130.35278719918057)"
-1162.4570380938578,"[33.59085442222057, 130.3528961074821]","(8532, 9436)","(33.59084388077077, 130.35278719918057)","(33.59085786910905, 130.35289565829274)"
-1171.8453019017097,"[33.59089557736515, 130.3529932872675]","(8532, 9436)","(33.59085786910905, 130.35289565829274)","(33.59087481076051, 130.35299729064906)"
-1200.001103811769,"[33.59093764613716, 130.3530945406578]","(8532, 9436)","(33.59087481076051, 130.35299729064906)","(33.5908938388713, 130.3531011990374)"
-1221.9587178902862,"[33.5909464555174, 130.3532107576796]","(8532, 9436)","(33.5908938388713, 130.3531011990374)","(33.590908132751544, 130.35321295652682)"
-1237.9823125985806,"[33.59094528205097, 130.3533031343224]","(8532, 9436)","(33.590908132751544, 130.35321295652682)","(33.5909134118082, 130.3533049629429)"
-1242.1840001524972,"[33.59094151857643, 130.353455666574]","(8532, 9436)","(33.5909134118082, 130.3533049629429)","(33.590934578805076, 130.35345722802256)"
-1302.1736800561214,"[33.59095343764274, 130.3535997682534]","(8532, 9565)","(33.590934578805076, 130.35345722802256)","(33.5909546, 130.3536754)"
-1346.867244547706,"[33.5910016467177, 130.3538115043408]","(6001, 9565)","(33.5909546, 130.3536754)","(33.5909645, 130.3537726)"
-1395.8717737531256,"[33.59096553063355, 130.3538965295351]","(6001, 10474)","(33.5909645, 130.3537726)","(33.5909729, 130.3538272)"
-1405.6028118458462,"[33.59097894377409, 130.3538231124453]","(10474, 10475)","(33.5909729, 130.3538272)","(33.59097943769318, 130.3538261298419)"
-1410.037010769787,"[33.59096193689255, 130.3538005148343]","(6001, 10474)","(33.59097943769318, 130.3538261298419)","(33.59096798484708, 130.35379944384235)"
-1414.4751852360669,"[33.5909599336177, 130.3538026941291]","(6001, 10474)","(33.59096798484708, 130.35379944384235)","(33.59096829812038, 130.35380121291507)"
-1420.9917269237005,"[33.59102984707205, 130.3540626337103]","(10466, 10474)","(33.59096829812038, 130.35380121291507)","(33.5910147207565, 130.35406529065605)"
-1437.5143484421278,"[33.5910661910042, 130.3541713302306]","(10466, 10474)","(33.5910147207565, 130.35406529065605)","(33.59103432968786, 130.35417692668858)"
-1489.5993395501644,"[33.59110882136373, 130.354308072599]","(10466, 10474)","(33.59103432968786, 130.35417692668858)","(33.5910470544986, 130.35430623687049)"
-1524.2117529096674,"[33.59109349086283, 130.3544323929868]","(10466, 10474)","(33.5910470544986, 130.35430623687049)","(33.591043349393246, 130.3544309027683)"
-1529.1845363440907,"[33.59106705434023, 130.3545438052438]","(10466, 10474)","(33.591043349393246, 130.3544309027683)","(33.59105631322146, 130.35454642039403)"
-1532.6511450416751,"[33.59108508381395, 130.3546612021796]","(10466, 10474)","(33.59105631322146, 130.35454642039403)","(33.59108430539342, 130.3546613917024)"
-1541.1312724044483,"[33.59111641536801, 130.3547117282919]","(10466, 10474)","(33.59108430539342, 130.3546613917024)","(33.59109767196329, 130.35471629176618)"
-1545.1592604743637,"[33.59111871200948, 130.3547855225674]","(10466, 10474)","(33.59109767196329, 130.35471629176618)","(33.59111225229524, 130.3547873373366)"
-1548.651354770173,"[33.59114037922917, 130.3548862227521]","(10466, 10474)","(33.59111225229524, 130.3547873373366)","(33.59114169443686, 130.35488569339464)"
-1554.920369620218,"[33.59116536568253, 130.3549925723396]","(10466, 10474)","(33.59114169443686, 130.35488569339464)","(33.591179612866306, 130.35498927206123)"
-1558.5737233361158,"[33.59120074569582, 130.3550817893169]","(6002, 10466)","(33.591179612866306, 130.35498927206123)","(33.591201034164385, 130.35508172240245)"
-1562.431181789544,"[33.59122840597628, 130.3551967052094]","(6002, 10466)","(33.591201034164385, 130.35508172240245)","(33.591233966875535, 130.3551944845508)"
-1565.9279484646227,"[33.59127811904399, 130.3553164323143]","(6002, 10466)","(33.591233966875535, 130.3551944845508)","(33.59127945965213, 130.35531599416123)"
-1569.685109223101,"[33.59130537699311, 130.3554114328049]","(6002, 10466)","(33.59127945965213, 130.35531599416123)","(33.59131014292423, 130.35540987514807)"
-1585.6914638322344,"[33.59130657560526, 130.3555014209173]","(6002, 10466)","(33.59131014292423, 130.35540987514807)","(33.59133668432168, 130.3554903296091)"
-1621.3340757136227,"[33.59132100924252, 130.3555982318989]","(6002, 10466)","(33.59133668432168, 130.3554903296091)","(33.591369810512, 130.35558025471536)"
-1631.7127300041925,"[33.59140135816632, 130.3556968868993]","(6002, 10466)","(33.591369810512, 130.35558025471536)","(33.59142095883741, 130.35568701959107)"
-1707.7385543586388,"[33.59137273396699, 130.355763221281]","(6002, 10466)","(33.59142095883741, 130.35568701959107)","(33.59144478264793, 130.3557352811429)"
-1827.0479141561352,"[33.59125869817435, 130.3556986806265]","(6002, 10466)","(33.59144478264793, 130.3557352811429)","(33.59139283508016, 130.355631153847)"
-1993.2378292299015,"[33.59092131109062, 130.3553758946871]","(6001, 6002)","(33.59139283508016, 130.355631153847)","(33.590861026806216, 130.3553977780922)"
Path2
1,"[33.59165890052318, 130.3518344388626]","(2164, 6541)","(33.59168242552822, 130.35196108285754)","(33.59168242552822, 130.35196108285754)"
-115.58666609116717,"[33.59155040516852, 130.3518481013648]","(2164, 6541)","(33.59168242552822, 130.35196108285754)","(33.59157509575248, 130.3519810201117)"
-235.6010774478281,"[33.5914586484745, 130.3518496603988]","(2164, 6541)","(33.59157509575248, 130.3519810201117)","(33.591452550850725, 130.351994729239)"
-352.18684394992556,"[33.59136091548352, 130.3518554606758]","(2164, 6541)","(33.591452550850725, 130.351994729239)","(33.59135523359502, 130.35199063873955)"
-471.95635121525356,"[33.591271799089, 130.3518700619511]","(2164, 6541)","(33.59135523359502, 130.35199063873955)","(33.591294601600694, 130.3519966014026)"
-588.657300614763,"[33.59118222168981, 130.3518720400802]","(2164, 6541)","(33.591294601600694, 130.3519966014026)","(33.59120749625475, 130.3520122978565)"
-705.4640075219002,"[33.59109977729021, 130.3518680838219]","(2164, 6541)","(33.59120749625475, 130.3520122978565)","(33.59112833531638, 130.35202656272173)"
-822.0723408502918,"[33.59101079500614, 130.3518760131023]","(2164, 6541)","(33.59112833531638, 130.35202656272173)","(33.59104076769445, 130.35204234247817)"
-961.5942062156089,"[33.59090598768888, 130.3518753257863]","(2164, 9434)","(33.59104076769445, 130.35204234247817)","(33.5907647, 130.3520525)"
-996.8147504199,"[33.59081107101737, 130.351957501965]","(9433, 9434)","(33.5907647, 130.3520525)","(33.590763847584974, 130.35195800793034)"
-1015.9080900128147,"[33.59079822994171, 130.3521031962059]","(2164, 9434)","(33.590763847584974, 130.35195800793034)","(33.5907652, 130.352092)"
