prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59295842240899, 130.3575965111426]","(9561, 9600)","(33.59293579422734, 130.35755857498452)","(33.59293579422734, 130.35755857498452)"
-17.16421132569674,"[33.59285512592978, 130.3576522507987]","(9561, 9600)","(33.59293579422734, 130.35755857498452)","(33.59283508232219, 130.3576186476804)"
-23.443049202277813,"[33.59272519595324, 130.3577023117154]","(9561, 9600)","(33.59283508232219, 130.3576186476804)","(33.59271722450565, 130.35768894757945)"
-31.31811240922845,"[33.59261735229156, 130.3577744170375]","(9561, 9600)","(33.59271722450565, 130.35768894757945)","(33.592606022681046, 130.35775657290094)"
-68.71842792659058,"[33.59254886166527, 130.3578620707899]","(9561, 9600)","(33.592606022681046, 130.35775657290094)","(33.592517889146926, 130.35781140420747)"
-94.78193815417119,"[33.59243675371035, 130.3579176218531]","(9561, 9600)","(33.592517889146926, 130.35781140420747)","(33.592411557651594, 130.3578764047272)"
-119.38702345409837,"[33.59234031991436, 130.3579749540708]","(9561, 9600)","(33.592411557651594, 130.3578764047272)","(33.59231584380147, 130.35793491467274)"
-133.9339027928466,"[33.59219924200661, 130.3580463678859]","(9417, 9561)","(33.59231584380147, 130.35793491467274)","(33.59218247751766, 130.3580171564446)"
-142.64421432154106,"[33.59207420496605, 130.3581019399039]","(9417, 9588)","(33.59218247751766, 130.3580171564446)","(33.59206449793425, 130.3580811547906)"
-149.18825565960628,"[33.59198046504257, 130.3581324270998]","(9417, 9588)","(33.59206449793425, 130.3580811547906)","(33.59197494718054, 130.3581156815881)"
-154.0832015611573,"[33.59187325931489, 130.3581520008206]","(9417, 9588)","(33.59197494718054, 130.3581156815881)","(33.591870715194766, 130.35814042150753)"
-178.7172070515062,"[33.59177748559377, 130.3581961524955]","(9417, 9588)","(33.591870715194766, 130.35814042150753)","(33.5917747715878, 130.35814738793678)"
-184.28141636492015,"[33.59164341705254, 130.3581500939376]","(9417, 9588)","(33.5917747715878, 130.35814738793678)","(33.591645208101134, 130.35813916854116)"
-187.72892503686634,"[33.59153609725981, 130.358116650144]","(9417, 9588)","(33.591645208101134, 130.35813916854116)","(33.591536225717114, 130.3581160702334)"
-194.51847159406339,"[33.59145204772576, 130.3580603866189]","(9417, 9588)","(33.591536225717114, 130.3581160702334)","(33.5914446472042, 130.35807782945577)"
-202.59458861067574,"[33.59135622161775, 130.3580037459082]","(9417, 9588)","(33.5914446472042, 130.35807782945577)","(33.59134399381086, 130.3580200357634)"
-214.18052691962325,"[33.59126533035523, 130.3579923046104]","(9417, 9588)","(33.59134399381086, 130.3580200357634)","(33.5912808, 130.3579726)"
-217.66950978614042,"[33.59119818083345, 130.3578935448363]","(9417, 9588)","(33.5912808, 130.3579726)","(33.59119838433349, 130.35789335903192)"
-246.94545300577605,"[33.59115950882769, 130.3577722796522]","(9417, 9588)","(33.59119838433349, 130.35789335903192)","(33.59112152425955, 130.3578027507893)"
-287.47831941957276,"[33.59110811728387, 130.357651538337]","(9588, 9590)","(33.59112152425955, 130.3578027507893)","(33.59107722428301, 130.35761065054172)"
-345.4831558877129,"[33.59105279672294, 130.3575285129532]","(9415, 9588)","(33.59107722428301, 130.35761065054172)","(33.590991185771195, 130.3575510287611)"
-386.6172977940365,"[33.59100329110733, 130.3574206378593]","(9415, 9588)","(33.590991185771195, 130.3575510287611)","(33.590950574752874, 130.35743990312426)"
-413.9821222353662,"[33.59095311493947, 130.3573168698981]","(9415, 9588)","(33.590950574752874, 130.35743990312426)","(33.59091120884598, 130.35733218453817)"
-455.4303317338386,"[33.59091128924265, 130.3571680492073]","(9415, 9588)","(33.59091120884598, 130.35733218453817)","(33.5908583020508, 130.35718741345016)"
-478.45658010397557,"[33.5908510967005, 130.3570505349248]","(9415, 9588)","(33.5908583020508, 130.35718741345016)","(33.590813324287545, 130.3570643389056)"
-521.8047525095046,"[33.59081589270718, 130.3569029505647]","(9415, 9588)","(33.590813324287545, 130.3570643389056)","(33.590761596243134, 130.35692279328288)"
